date,策略名称,股指期货信号,股指期货仓位,沪深300主连,中证1000主连,红利低波ETF,10年国债主连,30年国债主连,沪铜主连,沪铝主连,PTA主连,原油主连,豆粕主连,沪金主连
2019-07-19,风险平价策略,1.0,0.3,0.3,0.0,0.04997923472016405,0.3385148631519537,0.0,0.06647369512365985,0.08615988553164285,0.02444862844608387,0.020981231593701164,0.04732978354497961,0.0661126778878148
2019-07-26,风险平价策略,1.0,0.3,0.3,0.0,0.05480614136878822,0.350044166058307,0.0,0.06017762111700658,0.08261111832542131,0.019913338228835842,0.024529499265488783,0.0437122822039594,0.0642058334321928
2019-08-02,风险平价策略,1.0,0.3,0.3,0.0,0.04852820171256399,0.36291650627732375,0.0,0.05916517345577404,0.0833449928035217,0.019379933668799657,0.02255758167297877,0.044971162895769336,0.05913644751326875
2019-08-09,风险平价策略,1.0,0.3,0.3,0.0,0.042906628425375015,0.370752661208783,0.0,0.056496815781881184,0.08289897150519857,0.01912314354152287,0.02149685718023616,0.0456011936737484,0.06072372868325485
2019-08-16,风险平价策略,1.0,0.3,0.3,0.0,0.04683214713348528,0.3712351884162996,0.0,0.060157669682456894,0.08845978616772507,0.020372695914040756,0.021924410242684798,0.041043871962746496,0.049974230480561
2019-08-23,风险平价策略,1.0,0.3,0.3,0.0,0.04998631172447756,0.35633156117575016,0.0,0.06213173487476424,0.09077365280902346,0.020718127460016167,0.023503447922130993,0.044234573944986394,0.052320590088850955
2019-08-30,风险平价策略,1.0,0.3,0.3,0.0,0.05207259197141427,0.3361538694494138,0.0,0.06870365404468977,0.09744977662659554,0.023563940040571905,0.026955809085588898,0.043248347018839714,0.05185201176288608
2019-09-06,风险平价策略,1.0,0.3,0.3,0.0,0.05469205573911578,0.3412951541557224,0.0,0.06955013427086466,0.10008673712212897,0.02495136167008512,0.026814687593467418,0.04016587704457504,0.04244399240404052
2019-09-12,风险平价策略,1.0,0.3,0.3,0.0,0.062435556339626,0.30432506132419107,0.0,0.07973497857935455,0.10893530368847477,0.026890922281944486,0.02830614499602066,0.044465427513916536,0.044906605276471896
2019-09-20,风险平价策略,1.0,0.3,0.3,0.0,0.06570429396094783,0.30020282289757294,0.0,0.08381951509338015,0.09885332930785712,0.025569258538782464,0.024973129243406424,0.050859357592007215,0.05001829336604594
2019-09-27,风险平价策略,1.0,0.3,0.3,0.0,0.06895336621327514,0.2817455203215655,0.0,0.09033963500954476,0.09524421627284858,0.029628834060303737,0.02709461603518668,0.05539941039753562,0.05159440168973991
2019-09-30,风险平价策略,1.0,0.3,0.3,0.0,0.06829754811079143,0.28223704045473336,0.0,0.09053307550472443,0.09543567321090243,0.0296720884398903,0.02703530945537248,0.055492146238526795,0.051297118585058706
2019-10-11,风险平价策略,1.0,0.3,0.3,0.0,0.07487791959175236,0.274709090924346,0.0,0.08812021459187688,0.08947846679363959,0.03112187625064999,0.028356504432332993,0.060607038395524615,0.05272888901987761
2019-10-18,风险平价策略,1.0,0.3,0.3,0.0,0.06918721464029662,0.27041050046801013,0.0,0.09119216522189728,0.09540922248726179,0.03095867559107601,0.0274590185085518,0.06342045874988941,0.05196274433301682
2019-10-25,风险平价策略,1.0,0.3,0.3,0.0,0.07262664861036716,0.25836941754582665,0.0,0.09576878628306491,0.09362654326382308,0.030091755374061013,0.028945744540189108,0.06563091789559036,0.05494018648707756
2019-11-01,风险平价策略,1.0,0.3,0.3,0.0,0.07198068024830287,0.24713852880129752,0.0,0.09954745625108823,0.10374140911607622,0.031126629013117506,0.030689204030491593,0.056358633249045956,0.0594174592905801
2019-11-08,风险平价策略,1.0,0.3,0.3,0.0,0.06665297421360299,0.2517348064594239,0.0,0.10477363933420764,0.11241871247357903,0.02993632717190889,0.031672470311062746,0.05460954650074755,0.048201523535467236
2019-11-15,风险平价策略,1.0,0.3,0.3,0.0,0.05928226342506056,0.2758526594895328,0.0,0.10658244033420977,0.09230381643451437,0.03183223506217965,0.03297142814355042,0.04978486041931183,0.05139029669164064
2019-11-22,风险平价策略,1.0,0.3,0.3,0.0,0.058976790415761406,0.2794928916136202,0.0,0.10401289874297061,0.09264672921557947,0.0321242227736196,0.03134533546618841,0.049087202579853204,0.05231392919240716
2019-11-29,风险平价策略,1.0,0.3,0.3,0.0,0.06040017166991885,0.27254709293607476,0.0,0.1082240272010755,0.09076367717228401,0.03251540759902788,0.03220975373925844,0.05096268798569418,0.05237718169666633
2019-12-06,风险平价策略,1.0,0.3,0.3,0.0,0.06822517572005336,0.2477113318156509,0.0,0.11690811902146674,0.09345013239470322,0.035182608981562544,0.031141516063646336,0.051305721534848914,0.0560753944680679
2019-12-13,风险平价策略,1.0,0.3,0.3,0.0,0.07147832867317791,0.2405674331813985,0.0,0.12108896455263009,0.09695014544977221,0.03573183390763789,0.0325190597535448,0.04943341711675145,0.052230817365087216
2019-12-20,风险平价策略,1.0,0.3,0.3,0.0,0.07309655961498718,0.23494258596054454,0.0,0.11977516621073837,0.09956206866286965,0.035674551081073064,0.03380232967368074,0.0493389777024482,0.05380776109365819
2019-12-27,风险平价策略,1.0,0.3,0.3,0.0,0.06813705769709899,0.24315432178715804,0.0,0.12521516255493198,0.08787055001907862,0.03561301179838994,0.034006717863821256,0.050116143305091385,0.05588703497442971
2020-01-03,风险平价策略,1.0,0.3,0.3,0.0,0.07347135841322469,0.24904385256876013,0.0,0.09722179116622803,0.09633595261326101,0.03465781014396962,0.035251085801315564,0.05348289256434816,0.06053525672889283
2020-01-10,风险平价策略,1.0,0.3,0.3,0.0,0.07512287599944911,0.28920221432912613,0.0,0.11097767478585259,0.09273400145372789,0.027846113319925616,0.019997191132105314,0.04955184932479387,0.034568079655019485
2020-01-17,风险平价策略,1.0,0.3,0.3,0.0,0.07466835927244239,0.2908963411256477,0.0,0.11480540346220046,0.08418595833654902,0.0292657275553069,0.019690959508432443,0.051494117772000754,0.034993132967420335
2020-01-23,风险平价策略,0.0,0.0,0.0,0.0,0.06113695001269002,0.5248512538838593,0.0,0.10342692887769224,0.11267585880342981,0.041241571000291966,0.02699053802692734,0.06865899145180517,0.061017907943304125
2020-02-07,风险平价策略,0.0,0.0,0.0,0.0,0.023604752138439544,0.6917477276914719,0.0,0.0363862383669513,0.05715805429353121,0.024352032886782865,0.01934017070342618,0.06176796604962531,0.08564305786977172
2020-02-14,风险平价策略,0.0,0.0,0.0,0.0,0.030421223965287115,0.6033266109744352,0.0,0.0465277247693758,0.07331187302479851,0.03191676205702619,0.025024315797534606,0.07693601170052092,0.11253547771102186
2020-02-21,风险平价策略,0.0,0.0,0.0,0.0,0.03145189536892921,0.5947248045905238,0.0,0.04722175819583035,0.07393018140060333,0.032864079672162524,0.025486655970118132,0.07749730314596406,0.11682332165586845
